dep,week,pop,P,cl_age90
3,2020-S38,23577,8,89
3,2020-S38,7107,4,90
3,2020-S38,331315,130,0
3,2020-S39,30871,0,9
3,2020-S39,35788,9,19
3,2020-S39,28141,22,29
3,2020-S39,33349,15,39
3,2020-S39,39464,6,49
3,2020-S39,45840,10,59
3,2020-S39,48958,10,69
3,2020-S39,38220,16,79
3,2020-S39,23577,4,89
3,2020-S39,7107,5,90
3,2020-S39,331315,97,0
3,2020-S40,30871,7,9
3,2020-S40,35788,14,19
3,2020-S40,28141,24,29
3,2020-S40,33349,17,39
3,2020-S40,39464,15,49
3,2020-S40,45840,14,59
3,2020-S40,48958,9,69
3,2020-S40,38220,5,79
3,2020-S40,23577,11,89
3,2020-S40,7107,6,90
3,2020-S40,331315,122,0
4,2020-S21,16220,0,9
4,2020-S21,18061,0,19
4,2020-S21,13269,0,29
4,2020-S21,17545,1,39
4,2020-S21,19525,1,49
4,2020-S21,23898,1,59
4,2020-S21,24485,1,69
4,2020-S21,18808,0,79
4,2020-S21,10427,0,89
4,2020-S21,2959,0,90
4,2020-S21,165197,4,0
4,2020-S22,16220,0,9
4,2020-S22,18061,0,19
4,2020-S22,13269,0,29
4,2020-S22,17545,0,39
4,2020-S22,19525,0,49
4,2020-S22,23898,0,59
4,2020-S22,24485,1,69
4,2020-S22,18808,1,79
4,2020-S22,10427,0,89
4,2020-S22,2959,0,90
4,2020-S22,165197,2,0
4,2020-S23,16220,0,9
4,2020-S23,18061,0,19
4,2020-S23,13269,0,29
4,2020-S23,17545,0,39
4,2020-S23,19525,0,49
4,2020-S23,23898,0,59
4,2020-S23,24485,0,69
4,2020-S23,18808,0,79
4,2020-S23,10427,1,89
4,2020-S23,2959,0,90
4,2020-S23,165197,1,0
4,2020-S24,16220,0,9
4,2020-S24,18061,0,19
4,2020-S24,13269,1,29
4,2020-S24,17545,0,39
4,2020-S24,19525,1,49
4,2020-S24,23898,0,59
4,2020-S24,24485,0,69
4,2020-S24,18808,0,79
4,2020-S24,10427,0,89
4,2020-S24,2959,0,90
4,2020-S24,165197,2,0
4,2020-S25,16220,0,9
4,2020-S25,18061,0,19
4,2020-S25,13269,0,29
4,2020-S25,17545,0,39
4,2020-S25,19525,0,49
4,2020-S25,23898,0,59
4,2020-S25,24485,0,69
4,2020-S25,18808,0,79
4,2020-S25,10427,0,89
4,2020-S25,2959,1,90
4,2020-S25,165197,1,0
4,2020-S26,16220,0,9
4,2020-S26,18061,0,19
4,2020-S26,13269,0,29
4,2020-S26,17545,1,39
4,2020-S26,19525,0,49
4,2020-S26,23898,0,59
4,2020-S26,24485,0,69
4,2020-S26,18808,0,79
4,2020-S26,10427,0,89
4,2020-S26,2959,0,90
4,2020-S26,165197,1,0
4,2020-S27,16220,0,9
4,2020-S27,18061,0,19
4,2020-S27,13269,0,29
4,2020-S27,17545,0,39
